Date,high,low,open,volumefrom,volumeto,Close,conversionType,conversionSymbol
2023-12-03 10:45:00,0.634,0.6306,0.6337,672905.28,425203.7,0.6314,direct,
2023-12-03 10:48:00,0.6321,0.6297,0.6314,705439.1,445007.51,0.6306,direct,
2023-12-03 10:51:00,0.6306,0.6299,0.6306,249798.81,157416.65,0.6304,direct,
2023-12-03 10:54:00,0.6307,0.6289,0.6304,110731.89,69731.02,0.629,direct,
2023-12-03 10:57:00,0.629,0.6277,0.629,260885.46,163910.3,0.6279,direct,
2023-12-03 11:00:00,0.6286,0.6274,0.6279,414202.87,260134.61,0.6274,direct,
2023-12-03 11:03:00,0.6275,0.6267,0.6274,410633.24,257529.56,0.6267,direct,
2023-12-03 11:06:00,0.6279,0.6267,0.6267,157855.14,99050.85,0.6275,direct,
2023-12-03 11:09:00,0.6275,0.6265,0.6275,122395.64,76717.94,0.6269,direct,
2023-12-03 11:12:00,0.628,0.6269,0.6269,114253.79,71658.53,0.6278,direct,
2023-12-03 11:15:00,0.6296,0.6277,0.6278,174568.23,109790.25,0.6296,direct,
2023-12-03 11:18:00,0.6301,0.6291,0.6296,303855.02,191295.52,0.6299,direct,
2023-12-03 11:21:00,0.6299,0.6295,0.6299,121178.86,76310.4,0.6298,direct,
2023-12-03 11:24:00,0.63,0.6292,0.6298,144189.43,90767.42,0.6292,direct,
2023-12-03 11:27:00,0.6292,0.6276,0.6292,376760.54,236625.76,0.6281,direct,
2023-12-03 11:30:00,0.6295,0.628,0.6281,151143.04,94994.62,0.6295,direct,
2023-12-03 11:33:00,0.6305,0.6292,0.6295,212851.37,134080.2,0.6295,direct,
2023-12-03 11:36:00,0.6325,0.6295,0.6295,270122.54,170437.02,0.6315,direct,
2023-12-03 11:39:00,0.6317,0.631,0.6315,140420.54,88655.99,0.6311,direct,
2023-12-03 11:42:00,0.6313,0.6301,0.6311,122139.69,77013.22,0.6301,direct,
2023-12-03 11:45:00,0.6311,0.6301,0.6301,198061.38,124897.02,0.6302,direct,
2023-12-03 11:48:00,0.6302,0.6286,0.6302,311767.96,196140.69,0.6288,direct,
2023-12-03 11:51:00,0.6292,0.6285,0.6288,251354.49,158093.83,0.6286,direct,
2023-12-03 11:54:00,0.6287,0.6276,0.6286,162819.94,102235.64,0.6278,direct,
2023-12-03 11:57:00,0.6284,0.6277,0.6278,292134.64,183496.51,0.628,direct,
2023-12-03 12:00:00,0.6281,0.6267,0.628,346297.78,217241.66,0.6267,direct,
2023-12-03 12:03:00,0.6269,0.6258,0.6267,329777.94,206569.4,0.6262,direct,
2023-12-03 12:06:00,0.6265,0.6256,0.6262,502579.86,314632.52,0.6258,direct,
2023-12-03 12:09:00,0.6261,0.625,0.6258,318086.45,198951.48,0.626,direct,
2023-12-03 12:12:00,0.6265,0.626,0.626,101489.62,63531.75,0.6263,direct,
2023-12-03 12:15:00,0.6264,0.6255,0.6263,123985.58,77568.74,0.6257,direct,
2023-12-03 12:18:00,0.6261,0.6256,0.6257,91643.14,57329.17,0.6261,direct,
2023-12-03 12:21:00,0.6263,0.6258,0.6261,83613.82,52326.75,0.6262,direct,
2023-12-03 12:24:00,0.6267,0.6261,0.6262,467529.73,292828.64,0.6267,direct,
2023-12-03 12:27:00,0.6272,0.6265,0.6267,128788.67,80670.22,0.627,direct,
2023-12-03 12:30:00,0.6276,0.6269,0.627,373061.83,234083.43,0.6273,direct,
2023-12-03 12:33:00,0.6274,0.6269,0.6273,167048.88,104754.13,0.627,direct,
2023-12-03 12:36:00,0.6271,0.6267,0.627,57188.8,35840.09,0.6267,direct,
2023-12-03 12:39:00,0.6271,0.6266,0.6267,225056.18,141090.99,0.627,direct,
2023-12-03 12:42:00,0.6272,0.6269,0.627,67945.18,42590.24,0.6269,direct,
2023-12-03 12:45:00,0.6271,0.625,0.6269,149108.85,93329.77,0.6251,direct,
2023-12-03 12:48:00,0.6253,0.6242,0.6251,162471.26,101445.66,0.6242,direct,
2023-12-03 12:51:00,0.6243,0.6219,0.6242,624006.43,388877.27,0.6238,direct,
2023-12-03 12:54:00,0.6244,0.623,0.6238,119097.54,74267.01,0.6244,direct,
2023-12-03 12:57:00,0.6244,0.6238,0.6244,144006.61,89839.89,0.624,direct,
2023-12-03 13:00:00,0.624,0.6233,0.624,230868.51,143971.42,0.624,direct,
2023-12-03 13:03:00,0.6241,0.6235,0.624,73606.57,45931.79,0.6239,direct,
2023-12-03 13:06:00,0.625,0.6236,0.6239,270399.25,168841.65,0.6247,direct,
2023-12-03 13:09:00,0.6254,0.6246,0.6247,169693.19,106072.94,0.6251,direct,
2023-12-03 13:12:00,0.6255,0.6249,0.6251,213824.52,133714.96,0.6255,direct,
2023-12-03 13:15:00,0.6261,0.6251,0.6255,173467.77,108534.92,0.626,direct,
2023-12-03 13:18:00,0.6266,0.6259,0.626,136356.04,85406.44,0.6265,direct,
2023-12-03 13:21:00,0.6268,0.6263,0.6265,89897.34,56327.99,0.6267,direct,
