Series_reference,Period,Data_value,Suppressed,STATUS
BDCQ.SEA1AA,2011.06,80078,,F
BDCQ.SEA1AA,2011.09,78324,,F
BDCQ.SEA1AA,2011.12,85850,,F
BDCQ.SEA1AA,2012.03,90743,,F
BDCQ.SEA1AA,2012.06,81780,,F
BDCQ.SEA1AA,2012.09,79261,,F
BDCQ.SEA1AA,2012.12,87793,,F
BDCQ.SEA1AA,2013.03,91571,,F
BDCQ.SEA1AA,2013.06,81687,,F
BDCQ.SEA1AA,2013.09,81471,,F
BDCQ.SEA1AA,2013.12,93950,,F
BDCQ.SEA1AA,2014.03,97208,,F
BDCQ.SEA1AA,2014.06,85879,,F
BDCQ.SEA1AA,2014.09,84447,,F
BDCQ.SEA1AA,2014.12,95075,,F
BDCQ.SEA1AA,2015.03,98202,,F
BDCQ.SEA1AA,2015.06,87987,,F
BDCQ.SEA1AA,2015.09,84529,,F
BDCQ.SEA1AA,2015.12,96848,,F
BDCQ.SEA1AA,2016.03,99291,,F
BDCQ.SEA1AA,2016.06,88716,,F
BDCQ.SEA1AA,2016.09,85933,,F
BDCQ.SEA1AA,2016.12,96540,,F
BDCQ.SEA1AA,2017.03,98994,,F
BDCQ.SEA1AA,2017.06,90510,,F
BDCQ.SEA1AA,2017.09,87089,,F
BDCQ.SEA1AA,2017.12,98933,,F
BDCQ.SEA1AA,2018.03,101168,,F
BDCQ.SEA1AA,2018.06,90766,,F
BDCQ.SEA1AA,2018.09,86929,,F
BDCQ.SEA1AA,2018.12,100290,,F
BDCQ.SEA1AA,2019.03,102031,,F
BDCQ.SEA1AA,2019.06,90836,,F
BDCQ.SEA1AA,2019.09,88032,,F
BDCQ.SEA1AA,2019.12,100531,,F
BDCQ.SEA1AA,2020.03,100947,,F
BDCQ.SEA1AA,2020.06,93239,,F
BDCQ.SEA1AA,2020.09,93706,,R
BDCQ.SEA1AA,2020.12,103593,,R
BDCQ.SEA1AA,2021.03,102002,,R
BDCQ.SEA1AA,2021.06,93431,,R
BDCQ.SEA1AA,2021.09,92353,,R
BDCQ.SEA1AA,2021.12,102896,,R
BDCQ.SEA1AA,2022.03,101092,,R
BDCQ.SEA1AA,2022.06,94757,,R
BDCQ.SEA1AA,2022.09,91674,,R
BDCQ.SEA1AA,2022.12,99680,,R
BDCQ.SEA1AA,2023.03,98706,,F
BDCQ.SEA1AA,2023.06,92576,,F
BDCQ.SEA1AS,2011.06,83972,,R
BDCQ.SEA1AS,2011.09,84195,,R
BDCQ.SEA1AS,2011.12,82509,,R
BDCQ.SEA1AS,2012.03,84365,,R
BDCQ.SEA1AS,2012.06,85736,,R
BDCQ.SEA1AS,2012.09,85261,,R
BDCQ.SEA1AS,2012.12,84318,,R
BDCQ.SEA1AS,2013.03,85165,,R
BDCQ.SEA1AS,2013.06,85603,,R
BDCQ.SEA1AS,2013.09,87732,,R
BDCQ.SEA1AS,2013.12,90123,,R
BDCQ.SEA1AS,2014.03,90485,,R
BDCQ.SEA1AS,2014.06,89905,,R
BDCQ.SEA1AS,2014.09,91088,,R
BDCQ.SEA1AS,2014.12,91043,,R
BDCQ.SEA1AS,2015.03,91538,,R
BDCQ.SEA1AS,2015.06,92009,,R
BDCQ.SEA1AS,2015.09,91286,,R
BDCQ.SEA1AS,2015.12,92591,,R
BDCQ.SEA1AS,2016.03,92721,,R
BDCQ.SEA1AS,2016.06,92657,,R
BDCQ.SEA1AS,2016.09,92880,,R
BDCQ.SEA1AS,2016.12,92102,,R
BDCQ.SEA1AS,2017.03,92700,,R
BDCQ.SEA1AS,2017.06,94494,,R
BDCQ.SEA1AS,2017.09,93971,,R
BDCQ.SEA1AS,2017.12,94246,,R
BDCQ.SEA1AS,2018.03,95092,,R
BDCQ.SEA1AS,2018.06,94757,,R
BDCQ.SEA1AS,2018.09,93487,,R
BDCQ.SEA1AS,2018.12,95389,,R
BDCQ.SEA1AS,2019.03,96403,,R
BDCQ.SEA1AS,2019.06,94814,,R
BDCQ.SEA1AS,2019.09,94180,,R
BDCQ.SEA1AS,2019.12,95586,,R
BDCQ.SEA1AS,2020.03,95941,,R
BDCQ.SEA1AS,2020.06,97177,,R
BDCQ.SEA1AS,2020.09,99744,,R
BDCQ.SEA1AS,2020.12,98524,,R
BDCQ.SEA1AS,2021.03,97531,,R
BDCQ.SEA1AS,2021.06,97138,,R
BDCQ.SEA1AS,2021.09,97828,,R
BDCQ.SEA1AS,2021.12,98010,,R
BDCQ.SEA1AS,2022.03,97126,,R
BDCQ.SEA1AS,2022.06,98211,,R
BDCQ.SEA1AS,2022.09,96822,,R
BDCQ.SEA1AS,2022.12,95089,,R
BDCQ.SEA1AS,2023.03,95133,,R
BDCQ.SEA1AS,2023.06,95683,,F
BDCQ.SEA1AT,2011.06,84110,,R
BDCQ.SEA1AT,2011.09,83985,,R
BDCQ.SEA1AT,2011.12,83854,,R
BDCQ.SEA1AT,2012.03,84510,,R
BDCQ.SEA1AT,2012.06,85450,,R
BDCQ.SEA1AT,2012.09,85196,,R
BDCQ.SEA1AT,2012.12,84645,,R
BDCQ.SEA1AT,2013.03,84849,,R
BDCQ.SEA1AT,2013.06,85862,,R
BDCQ.SEA1AT,2013.09,87795,,R
BDCQ.SEA1AT,2013.12,89873,,R
BDCQ.SEA1AT,2014.03,90375,,R
BDCQ.SEA1AT,2014.06,90339,,R
BDCQ.SEA1AT,2014.09,90747,,R
BDCQ.SEA1AT,2014.12,91212,,R
BDCQ.SEA1AT,2015.03,91582,,R
BDCQ.SEA1AT,2015.06,91688,,R
BDCQ.SEA1AT,2015.09,91761,,R
BDCQ.SEA1AT,2015.12,92286,,R
BDCQ.SEA1AT,2016.03,92757,,R
BDCQ.SEA1AT,2016.06,92787,,R
BDCQ.SEA1AT,2016.09,92611,,R
BDCQ.SEA1AT,2016.12,92290,,R
BDCQ.SEA1AT,2017.03,92945,,R
BDCQ.SEA1AT,2017.06,94007,,R
BDCQ.SEA1AT,2017.09,94216,,R
BDCQ.SEA1AT,2017.12,94358,,R
BDCQ.SEA1AT,2018.03,94911,,R
BDCQ.SEA1AT,2018.06,94611,,R
BDCQ.SEA1AT,2018.09,94349,,R
BDCQ.SEA1AT,2018.12,95355,,R
BDCQ.SEA1AT,2019.03,95981,,R
BDCQ.SEA1AT,2019.06,94995,,R
BDCQ.SEA1AT,2019.09,94486,,R
